employee_id,year_month,full_name,department_hcm,site_hcm,hire_date,termination_date,status_hcm,annual_salary,job_title,manager_id,department_pay,gross_salary,site_pay,status_pay,cost_center,site,department,consolidated_status,ghost_employee_alert,expected_monthly_salary,salary_variance,salary_variance_pct
EMP0001,2023-01,Employee 1,R&D,Israel,2022-02-27,,Active,167860.09,Research Scientist,EMP0033,R&D,13700.61,Israel,Active,CC-103,Israel,R&D,Active,False,13988.340833333334,-287.73083333333307,-2.056933247206049
EMP0001,2023-02,Employee 1,R&D,Israel,2022-02-27,,Active,165325.35,Research Scientist,EMP0033,R&D,14045.88,Israel,Active,CC-103,Israel,R&D,Active,False,13777.112500000001,268.7674999999981,1.9508260529918595
EMP0001,2023-03,Employee 1,R&D,Israel,2022-02-27,,Active,166027.3,Research Scientist,EMP0033,R&D,13825.19,Israel,Active,CC-103,Israel,R&D,Active,False,13835.608333333332,-10.418333333331248,-0.0753008691943885
EMP0001,2023-04,Employee 1,R&D,Israel,2022-02-27,,Active,164862.54,Research Scientist,EMP0033,R&D,14045.43,Israel,Active,CC-103,Israel,R&D,Active,False,13738.545,306.8850000000002,2.2337518274315094
EMP0001,2023-05,Employee 1,R&D,Israel,2022-02-27,,Active,164792.89,Research Scientist,EMP0033,R&D,14067.58,Israel,Active,CC-103,Israel,R&D,Active,False,13732.740833333335,334.8391666666648,2.438254465954191
EMP0001,2023-06,Employee 1,R&D,Israel,2022-02-27,,Active,166185.74,Research Scientist,EMP0033,R&D,13755.05,Israel,Active,CC-103,Israel,R&D,Active,False,13848.811666666666,-93.76166666666722,-0.6770376327114509
EMP0001,2023-07,Employee 1,R&D,Israel,2022-02-27,,Active,166636.17,Research Scientist,EMP0033,R&D,13876.05,Israel,Active,CC-103,Israel,R&D,Active,False,13886.347500000002,-10.297500000002401,-0.07415556898603035
EMP0001,2023-08,Employee 1,R&D,Israel,2022-02-27,,Active,167287.58,Research Scientist,EMP0033,R&D,13685.46,Israel,Active,CC-103,Israel,R&D,Active,False,13940.631666666666,-255.17166666666708,-1.8304168187500862
EMP0001,2023-09,Employee 1,R&D,Israel,2022-02-27,,Active,167312.87,Research Scientist,EMP0033,R&D,13736.32,Israel,Active,CC-103,Israel,R&D,Active,False,13942.739166666666,-206.41916666666657,-1.4804778616253484
EMP0001,2023-10,Employee 1,R&D,Israel,2022-02-27,,Active,,Research Scientist,EMP0033,R&D,13902.12,Israel,Active,CC-103,Israel,R&D,Active,False,,,
EMP0001,2023-11,Employee 1,R&D,Israel,2022-02-27,,Active,165886.45,Research Scientist,EMP0033,R&D,13886.98,Israel,Active,CC-103,Israel,R&D,Active,False,13823.870833333334,63.10916666666526,0.4565231216895551
EMP0001,2023-12,Employee 1,R&D,Israel,2022-02-27,,Active,166851.97,Research Scientist,EMP0033,R&D,13683.54,Israel,Active,CC-103,Israel,R&D,Active,False,13904.330833333333,-220.79083333333256,-1.5879285093247568
EMP0001,2024-01,Employee 1,R&D,Israel,2022-02-27,,Active,167586.82,Research Scientist,EMP0033,R&D,13656.36,Israel,Active,CC-103,Israel,R&D,Active,False,13965.568333333335,-309.20833333333394,-2.214076262083144
EMP0001,2024-02,Employee 1,R&D,Israel,2022-02-27,,Active,,Research Scientist,EMP0033,R&D,13754.36,Israel,Active,CC-103,Israel,R&D,Active,False,,,
EMP0001,2024-03,Employee 1,R&D,Israel,2022-02-27,,Active,165184.5,Research Scientist,EMP0033,R&D,13964.59,Israel,Active,CC-103,Israel,R&D,Active,False,13765.375,199.21500000000015,1.4472181106580833
EMP0001,2024-04,Employee 1,R&D,Israel,2022-02-27,,Active,165747.57,Research Scientist,EMP0033,R&D,13737.56,Israel,Active,CC-103,Israel,R&D,Active,False,13812.2975,-74.73750000000109,-0.5410939056301176
EMP0001,2024-05,Employee 1,R&D,Israel,2022-02-27,,Active,164917.72,Research Scientist,EMP0033,R&D,13962.16,Israel,Active,CC-103,Israel,R&D,Active,False,13743.143333333333,219.01666666666642,1.5936431815816985
EMP0001,2024-06,Employee 1,R&D,Israel,2022-02-27,,Active,166059.36,Research Scientist,EMP0033,R&D,13715.9,Israel,Active,CC-103,Israel,R&D,Active,False,13838.279999999999,-122.3799999999992,-0.8843584607335536
EMP0001,2024-07,Employee 1,R&D,Israel,2022-02-27,,Active,165661.41,Research Scientist,EMP0033,R&D,13814.68,Israel,Active,CC-103,Israel,R&D,Active,False,13805.1175,9.5625,0.06926779145487172
EMP0001,2024-08,Employee 1,R&D,Israel,2022-02-27,,Active,166279.78,Research Scientist,EMP0033,R&D,13904.07,Israel,Active,CC-103,Israel,R&D,Active,False,13856.648333333333,47.42166666666708,0.3422304263332589
EMP0001,2024-09,Employee 1,R&D,Israel,2022-02-27,,Active,165554.1,Research Scientist,EMP0033,R&D,13770.78,Israel,Active,CC-103,Israel,R&D,Active,False,13796.175000000001,-25.395000000000437,-0.1840727592974171
EMP0001,2024-10,Employee 1,R&D,Israel,2022-02-27,,Active,166049.9,Research Scientist,EMP0033,R&D,14085.92,Israel,Active,CC-103,Israel,R&D,Active,False,13837.491666666667,248.42833333333328,1.7953277900197468
EMP0001,2024-11,Employee 1,R&D,Israel,2022-02-27,,Active,165494.95,Research Scientist,EMP0033,R&D,13642.67,Israel,Active,CC-103,Israel,R&D,Active,False,13791.245833333334,-148.57583333333423,-1.0773198819661933
EMP0001,2024-12,Employee 1,R&D,Israel,2022-02-27,,Active,167701.52,Research Scientist,EMP0033,R&D,14119.8,Israel,Active,CC-103,Israel,R&D,Active,False,13975.126666666665,144.67333333333409,1.0352201935915721
EMP0002,2023-01,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119685.73,R&D Manager,EMP0010,R&D,9930.89,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9973.810833333333,-42.920833333333576,-0.4303353457425567
EMP0002,2023-02,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,120407.39,R&D Manager,EMP0010,R&D,9943.35,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,10033.949166666667,-90.59916666666686,-0.90292630709793
EMP0002,2023-03,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,120918.34,R&D Manager,EMP0010,R&D,10012.09,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,10076.528333333334,-64.4383333333335,-0.6394894273275683
EMP0002,2023-04,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,120853.15,R&D Manager,EMP0010,R&D,10169.02,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,10071.095833333333,97.92416666666759,0.9723288139365925
EMP0002,2023-05,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119695.83,R&D Manager,EMP0010,R&D,10088.83,Japan,Active,CC-189,US - Newport Beach,R&D,Active,False,9974.6525,114.17749999999978,1.1446764686789819
EMP0002,2023-06,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,118772.05,R&D Manager,EMP0010,R&D,9961.71,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9897.670833333334,64.03916666666555,0.6470124915752373
EMP0002,2023-07,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119768.35,R&D Manager,EMP0010,R&D,9854.36,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9980.695833333333,-126.33583333333263,-1.2658018583373585
EMP0002,2023-08,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119760.88,R&D Manager,EMP0010,R&D,10046.2,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9980.073333333334,66.126666666667,0.6625869816587888
EMP0002,2023-09,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,120786.81,R&D Manager,EMP0010,R&D,9932.58,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,10065.5675,-132.98749999999927,-1.3212121422860588
EMP0002,2023-10,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119699.49,R&D Manager,EMP0010,R&D,10064.52,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9974.9575,89.5625,0.8978734997116529
EMP0002,2023-11,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119985.52,R&D Manager,EMP0010,R&D,9889.44,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9998.793333333333,-109.35333333333256,-1.0936653022798009
EMP0002,2023-12,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,118910.88,R&D Manager,EMP0010,R&D,9922.77,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9909.24,13.530000000000655,0.13653923005195812
EMP0002,2024-01,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,118996.12,R&D Manager,EMP0010,R&D,9949.84,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9916.343333333332,33.49666666666781,0.33779252634456797
EMP0002,2024-02,Employee 2,R&D,US - Newport Beach,2022-01-06,,Active,119129.57,R&D Manager,EMP0010,R&D,9986.53,US - Newport Beach,Active,CC-189,US - Newport Beach,R&D,Active,False,9927.464166666667,59.06583333333401,0.5949740270194949
